state,year,white_footed_mouse_occurrence_records,species,note
New Mexico,2002,94,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2003,23,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2004,128,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2005,38,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2006,113,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2007,41,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2008,6,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2009,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2010,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2012,27,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2013,23,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2014,37,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2015,34,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2016,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2017,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2018,56,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2019,58,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2020,17,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2021,24,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2022,53,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New Mexico,2023,47,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,1992,14,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,1993,78,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,1994,61,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,1995,37,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,1996,155,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,1997,17,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,1998,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,1999,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2000,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2001,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2003,70,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2004,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2005,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2006,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2007,6,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2008,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2009,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2010,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2011,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2012,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2013,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2014,41,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2015,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2016,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2017,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2018,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2019,18,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2020,24,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2021,16,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2022,35,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New York,2023,25,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New mexico,1992,22,Peromyscus leucopus,"GBIF occurrence records, not population counts"
New york,1993,11,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,1992,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,1994,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,1995,15,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,1996,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,1997,20,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,1998,12,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2000,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2001,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2002,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2003,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2004,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2005,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2006,32,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2007,12,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2008,6,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2009,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2010,16,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2011,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2012,6,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2013,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2014,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2015,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2016,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2017,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2018,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2019,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2020,139,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2021,43,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2022,18,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Carolina,2023,47,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,1994,25,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,1995,27,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,1996,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2000,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2004,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2016,32,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2017,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2018,46,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2019,102,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2020,17,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2021,25,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2022,105,Peromyscus leucopus,"GBIF occurrence records, not population counts"
North Dakota,2023,129,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,1992,35,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,1993,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,1994,30,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,1995,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,1996,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,1997,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,1998,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2002,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2004,19,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2005,56,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2006,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2007,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2009,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2010,15,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2011,6,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2012,6,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2013,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2014,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2015,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2016,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2017,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2018,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2019,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2020,14,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2021,17,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2022,33,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Ohio,2023,44,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,1992,614,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,1993,583,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,1994,26,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,1995,131,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,1996,21,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,1997,13,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,1998,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,1999,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2000,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2002,22,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2003,66,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2004,80,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2005,49,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2006,31,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2007,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2008,42,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2009,15,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2010,24,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2011,36,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2012,30,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2013,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2014,48,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2015,48,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2016,66,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2017,16,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2018,25,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2019,16,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2020,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2021,16,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2022,71,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Oklahoma,2023,70,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,1992,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,1993,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,1994,31,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,1995,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,1996,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,1997,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,1998,14,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,1999,124,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2000,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2002,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2003,24,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2006,27,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2012,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2014,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2015,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2017,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2018,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2019,13,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2020,24,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2021,24,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2022,20,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Pennsylvania,2023,25,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,1994,70,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2002,32,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2003,26,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2004,35,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2005,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2006,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2015,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2016,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2018,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2019,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2020,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2021,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2022,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Rhode Island,2023,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Carolina,1993,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Carolina,2008,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Carolina,2022,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,1992,20,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,1994,67,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,1995,87,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,1998,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,2001,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,2008,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,2009,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,2015,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South Dakota,2021,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South dakota,2002,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
South dakota,2003,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,1992,63,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,1993,73,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,1994,13,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,1995,37,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,1996,19,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,1997,115,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,1998,52,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,1999,98,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2000,172,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2001,97,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2002,282,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2003,266,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2004,136,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2005,25,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2006,265,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2007,12,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2008,99,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2009,57,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2010,44,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2011,56,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2012,12,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2013,158,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2014,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2015,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2016,303,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2017,192,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2018,620,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2019,494,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2020,255,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2021,660,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2022,414,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Tennessee,2023,383,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,1992,226,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,1993,101,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,1994,76,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,1995,82,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,1996,138,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,1997,118,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,1998,23,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,1999,51,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2000,27,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2001,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2002,34,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2003,33,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2004,40,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2005,34,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2006,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2007,9,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2008,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2009,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2010,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2011,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2012,44,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2013,84,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2014,121,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2015,272,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2016,146,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2017,228,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2018,235,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2019,135,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2020,58,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2021,32,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2022,107,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Texas,2023,145,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Vermont,2001,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Vermont,2008,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Vermont,2016,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Vermont,2023,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,1992,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,1993,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,1994,171,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,1995,23,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,1996,63,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,1997,53,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,1998,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,1999,30,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2000,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2001,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2002,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2003,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2004,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2005,3,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2007,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2008,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2009,14,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2012,39,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2013,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2014,74,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2015,382,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2016,390,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2017,296,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2018,987,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2019,1023,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2020,866,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2021,978,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2022,1225,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Virginia,2023,1554,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Washington,2003,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,1993,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2001,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2011,14,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2012,12,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2013,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2015,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2018,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2019,28,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2020,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2021,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2022,4,Peromyscus leucopus,"GBIF occurrence records, not population counts"
West Virginia,2023,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,1992,187,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,1993,13,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,1994,31,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,1996,73,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,1997,11,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,1998,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2002,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2003,10,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2004,7,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2005,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2006,15,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2007,12,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2008,41,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2009,79,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2010,79,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2011,45,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2012,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2013,8,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2014,49,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2016,174,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2017,164,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2018,454,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2019,323,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2020,1272,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2021,433,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2022,575,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wisconsin,2023,787,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wyoming,1993,1,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wyoming,1996,5,Peromyscus leucopus,"GBIF occurrence records, not population counts"
Wyoming,1997,2,Peromyscus leucopus,"GBIF occurrence records, not population counts"
