# Contiguous U.S. June-May Average Temperature
# Units: Degrees Fahrenheit
Date,Value
199205,53.53
199305,51.13
199405,51.65
199505,53.09
199605,52.16
199705,52.04
199805,53.08
199905,54.14
200005,54.48
200105,52.22
200205,53.72
200305,53.08
200405,53.59
200505,53.05
200605,54.33
200705,53.44
200805,53
200905,52.84
201005,52.04
201105,52.79
201205,55.28
201305,53.3
201405,52.23
201505,53.31
201605,54.98
201705,55.11
201805,53.68
201905,52.85
202005,53.71
202105,53.81
202205,54.38
202305,53.72
